team,region,country,track,status,year,url
Hong_Kong-CUHK,Asia,Hong Kong,Food & Nutrition,Accepted,2019,https://2019.igem.org/Team:Hong_Kong-CUHK/Description
Hong_Kong_CUHK,Asia,Hong Kong,New Application,Accepted,2013,https://2013.igem.org/Team:Hong_Kong_CUHK/Description
Hong_Kong_HKU,Asia,Hong Kong,Environment,Accepted,2013,https://2013.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKU,Asia,Hong Kong,Environment,Accepted,2014,https://2014.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKU,Asia,Hong Kong,New Application,Accepted,2015,https://2015.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKU,Asia,Hong Kong,Diagnostics,Accepted,2016,https://2016.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKU,Asia,Hong Kong,Diagnostics,Accepted,2017,https://2017.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKU,Asia,Hong Kong,Foundational Advance,Accepted,2018,https://2018.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKU,Asia,Hong Kong,Therapeutics,Accepted,2019,https://2019.igem.org/Team:Hong_Kong_HKU/Description
Hong_Kong_HKUST,Asia,Hong Kong,Health & Medicine,Accepted,2013,https://2013.igem.org/Team:Hong_Kong_HKUST/Description
Hong_Kong_HKUST,Asia,Hong Kong,Health & Medicine,Accepted,2014,https://2014.igem.org/Team:Hong_Kong_HKUST/Description
Hong_Kong_HKUST,Asia,Hong Kong,Information Processing,Accepted,2016,https://2016.igem.org/Team:Hong_Kong_HKUST/Description
Hong_Kong_HKUST,Asia,Hong Kong,Foundational Advance,Accepted,2017,https://2017.igem.org/Team:Hong_Kong_HKUST/Description
Hong_Kong_HKUST,Asia,Hong Kong,Environment,Accepted,2018,https://2018.igem.org/Team:Hong_Kong_HKUST/Description
Hong_Kong_HKUST,Asia,Hong Kong,Foundational Advance,Accepted,2019,https://2019.igem.org/Team:Hong_Kong_HKUST/Description
Hong_Kong_JSS,Asia,Hong Kong,High School,Accepted,2018,https://2018.igem.org/Team:Hong_Kong_JSS/Description
Hong_Kong_JSS,Asia,Hong Kong,High School,Accepted,2019,https://2019.igem.org/Team:Hong_Kong_JSS/Description
Hong_Kong_LFC_PC,Asia,Hong Kong,High School,Accepted,2019,https://2019.igem.org/Team:Hong_Kong_LFC_PC/Description
Hong_Kong_UCCKE,Asia,Hong Kong,High School,Accepted,2016,https://2016.igem.org/Team:Hong_Kong_UCCKE/Description
Hong_Kong_UCCKE,Asia,Hong Kong,High School,Accepted,2017,https://2017.igem.org/Team:Hong_Kong_UCCKE/Description
Hong_Kong_UCCKE,Asia,Hong Kong,High School,Accepted,2019,https://2019.igem.org/Team:Hong_Kong_UCCKE/Description
HSAAHNU_Anhui,Asia,China,,Accepted,2014,https://2014.igem.org/Team:HSAAHNU_Anhui/Description
HSHL,Europe,Germany,Food & Nutrition,Accepted,2018,https://2018.igem.org/Team:HSHL/Description
HSiTAIWAN,Asia,Taiwan,High School,Accepted,2016,https://2016.igem.org/Team:HSiTAIWAN/Description
HSNU-TAIPEI,Asia,Taiwan,High School,Accepted,2015,https://2015.igem.org/Team:HSNU-TAIPEI/Description
HTHS_Trussville_AL,North America,United States,Environment(P),Accepted,2014,https://2014.igem.org/Team:HTHS_Trussville_AL/Description
